AFC,"Anchorage, Alaska"
AFG,"Fairbanks, Alaska"
AJK,"Juneau, Alaska"
BOU,"Denver/Boulder, Colorado"
GJT,"Grand Junction, Colorado"
PUB,"Pueblo, Colorado"
LOT,"Chicago, Illinois"
ILX,"Lincoln, Illinois"
IND,"Indianapolis, Indiana"
IWX,"Northern Indiana, Indiana"
DVN,"Davenport/Quad Cities, Iowa"
DMX,"Des Moines, Iowa"
DDC,"Dodge City, Kansas"
GLD,"Goodland, Kansas"
TOP,"Topeka, Kansas"
ICT,"Wichita, Kansas"
JKL,"Jackson, Kentucky"
LMK,"Louisville, Kentucky"
PAH,"Paducah, Kentucky"
DTX,"Detroit/Pontiac, Michigan"
APX,"Gaylord, Michigan"
GRR,"Grand Rapids, Michigan"
MQT,"Marquette, Michigan"
DLH,"Duluth, Minnesota"
MPX,"Chanhassen/Twin Cities, Minnesota"
EAX,"Kansas City/Pleasant Hill, Missouri"
SGF,"Springfield, Missouri"
LSX,"St. Louis, Missouri"
GID,"Hastings, Nebraska"
LBF,"North Platte, Nebraska"
OAX,"Omaha/Valley, Nebraska"
BIS,"Bismarck, North Dakota"
FGF,"Grand Forks, North Dakota"
ABR,"Aberdeen, South Dakota"
UNR,"Rapid City, South Dakota"
FSD,"Sioux Falls, South Dakota"
GRB,"Green Bay, Wisconsin"
ARX,"La Crosse, Wisconsin"
MKX,"Milwaukee/Sullivan, Wisconsin"
CYS,"Cheyenne, Wyoming"
RIW,"Riverton, Wyoming"
CAR,"Caribou, Maine"
GYX,"Gray/Portland, Maine"
BOX,"Boston, Massachusetts"
PHI,"Mount Holly/Philadelphia, New Jersey"
ALY,"Albany, New York"
BGM,"Binghamton, New York"
BUF,"Buffalo, New York"
OKX,"New York/Upton, New York"
MHX,"Newport/Morehead City, North Carolina"
RAH,"Raleigh, North Carolina"
ILM,"Wilmington, North Carolina"
CLE,"Cleveland, Ohio"
ILN,"Wilmington, Ohio"
PBZ,"Pittsburgh, Pennsylvania"
CTP,"State College, Pennsylvania"
CHS,"Charleston, South Carolina"
CAE,"Columbia, South Carolina"
GSP,"Greenville-Spartanburg, South Carolina"
BTV,"Burlington, Vermont"
LWX,"Baltimore/Washington, Virginia"
RNK,"Blacksburg/Roanoke, Virginia"
AKQ,"Wakefield, Virginia"
RLX,"Charleston, West Virginia"
GUM,"Guam, Guam"
HFO,"Honolulu, Hawaii"
BMX,"Birmingham, Alabama"
HUN,"Huntsville, Alabama"
MOB,"Mobile/Pensacola, Alabama"
LZK,"Little Rock, Arkansas"
JAX,"Jacksonville, Florida"
KEY,"Key West, Florida"
MLB,"Melbourne, Florida"
MFL,"Miami, Florida"
TAE,"Tallahassee, Florida"
TBW,"Tampa, Florida"
FFC,"Peachtree City/Atlanta, Georgia"
LCH,"Lake Charles, Louisiana"
LIX,"New Orleans/Baton Rouge, Louisiana"
SHV,"Shreveport, Louisiana"
JAN,"Jackson, Mississippi"
ABQ,"Albuquerque, New Mexico"
OUN,"Norman/Oklahoma City, Oklahoma"
TSA,"Tulsa, Oklahoma"
SJU,"San Juan, Puerto Rico"
MEG,"Memphis, Tennessee"
MRX,"Morristown/Knoxville, Tennessee"
OHX,"Nashville, Tennessee"
AMA,"Amarillo, Texas"
EWX,"Austin/San Antonio, Texas"
BRO,"Brownsville, Texas"
CRP,"Corpus Christi, Texas"
EPZ,"El Paso, Texas"
FWD,"Fort Worth-Dallas, Texas"
HGX,"Houston/Galveston, Texas"
LUB,"Lubbock, Texas"
MAF,"Midland/Odessa, Texas"
SJT,"San Angelo, Texas"
FGZ,"Flagstaff, Arizona"
PSR,"Phoenix, Arizona"
TWC,"Tucson, Arizona"
EKA,"Eureka, California"
LOX,"Los Angeles/Oxnard, California"
STO,"Sacramento, California"
SGX,"San Diego, California"
MTR,"San Francisco Bay Area/Monterey, California"
HNX,"San Joaquin Valley/Hanford, California"
BOI,"Boise, Idaho"
PIH,"Pocatello, Idaho"
BYZ,"Billings, Montana"
GGW,"Glasgow, Montana"
TFX,"Great Falls, Montana"
MSO,"Missoula, Montana"
LKN,"Elko, Nevada"
VEF,"Las Vegas, Nevada"
REV,"Reno, Nevada"
MFR,"Medford, Oregon"
PDT,"Pendleton, Oregon"
PQR,"Portland, Oregon"
SLC,"Salt Lake City, Utah"
SEW,"Seattle, Washington"
OTX,"Spokane, Washington"